EnableActivityFeed,HKLM:\SOFTWARE\Policies\Microsoft\Windows\System,
PublishUserActivities,HKLM:\SOFTWARE\Policies\Microsoft\Windows\System,
UploadUserActivities,HKLM:\SOFTWARE\Policies\Microsoft\Windows\System,
StoragePolicy,HKCU:\SOFTWARE\Microsoft\Windows\CurrentVersion\StorageSense\Parameters\StoragePolicy,
HideFileExt,HKCU:\Software\Microsoft\Windows\CurrentVersion\Explorer\Advanced,
RealTimeIsUniversal,HKLM:\SYSTEM\CurrentControlSet\Control\TimeZoneInformation,
Explorer,HKCU:\Software\Policies\Microsoft\Windows,
DisableNotificationCenter,HKCU:\Software\Policies\Microsoft\Windows\Explorer,
